,Unix,open,high,low,close,EMA_50,EMA_200,RSI
138,1616112000000,29.9752,34.2,29.4497,33.262,24.656693128484722,,63.656045055489095
139,1616198400000,33.2566,35.2005,31.85,32.0399,24.94730449178203,,59.57923697976808
140,1616284800000,32.04,33.3,31.5,32.9395,25.261840588588083,,61.532248487129735
141,1616371200000,32.9399,35.8531,31.7495,32.7958,25.558301196578295,,61.02502394585788
142,1616457600000,32.828,36.8,30.0888,30.9878,25.77192280112473,,54.89380088041299
143,1616544000000,31.017,31.8813,25.5247,27.2243,25.82905867296455,,44.803022855339805
144,1616630400000,27.2213,28.07,25.5659,26.5,25.855449936769105,,43.158722395180504
145,1616716800000,26.5005,29.0,26.4498,28.88,25.974405496777507,,49.692305662025035
146,1616803200000,28.88,29.4706,27.7951,28.1897,26.06152307509127,,47.97002799125228
147,1616889600000,28.1893,28.887,27.3558,27.8685,26.132575554841253,,47.15113246658382
148,1616976000000,27.8714,29.5,27.5013,29.0155,26.245923611096828,,50.406892674680726
149,1617062400000,29.0186,29.2693,28.28,28.55,26.336503894398838,,49.085265912545395
150,1617148800000,28.5487,29.0251,26.666,28.0316,26.403136813926942,,47.58884404956372
151,1617235200000,28.0776,30.3055,28.0776,28.6638,26.491993427034696,,49.6065200510368
152,1617321600000,28.6638,30.2803,28.4252,30.2084,26.638055710784357,,54.24147899286882
153,1617408000000,30.194,32.5,29.3293,29.3874,26.74610116584462,,51.52859245165533
154,1617494400000,29.3859,31.5,28.9183,30.9131,26.90984491675655,,55.938874524794954
155,1617580800000,30.9134,31.2306,29.6712,30.8292,27.063845144506544,,55.63907005990549
156,1617667200000,30.8292,32.4508,30.0174,31.233,27.22764802485757,,56.838056848394146
157,1617753600000,31.2512,31.4,27.7907,28.5722,27.28047055075283,,47.691010473358496
158,1617840000000,28.5646,30.3316,28.3312,30.2033,27.39528970954786,,52.714679667191675
159,1617926400000,30.1911,30.6713,29.25,29.5199,27.478746309767047,,50.525243981482895
160,1618012800000,29.5199,30.9839,29.1687,29.7649,27.568542624026723,,51.3060646287752
161,1618099200000,29.7743,30.6659,29.1936,29.9063,27.66036009282872,,51.77907555004624
162,1618185600000,29.9131,38.1639,29.5458,36.6844,28.014765833602652,,67.8840567162645
163,1618272000000,36.669,37.2,33.75,35.4293,28.30594379352456,,63.645230661926234
164,1618358400000,35.4336,36.93,33.222,36.0626,28.610540388762512,,64.83829423176907
165,1618444800000,36.0631,39.6,35.5813,37.7447,28.969211103900935,,67.85569653097589
166,1618531200000,37.7285,38.1977,33.983,36.1359,29.250610788127133,,62.34507758109862
167,1618617600000,36.1284,37.5267,34.6222,34.7343,29.465916966308427,,57.931077003205786
168,1618704000000,34.7412,35.1,26.9787,31.6225,29.550586913406516,,49.544282030039064
169,1618790400000,31.6364,32.73,29.181,31.3572,29.621513409991096,,48.894371537069944
170,1618876800000,31.3854,32.2985,28.0,31.9547,29.713108850545286,,50.47021050196931
171,1618963200000,31.9574,36.5644,30.513,33.4146,29.858414624461066,,54.18726717681761
172,1619049600000,33.4425,38.4579,32.66,33.9099,30.01745336219898,,55.40991369775081
173,1619136000000,33.9322,34.9307,29.5187,32.9502,30.132572191786902,,52.48698517454977
174,1619222400000,32.9518,32.9998,29.806,30.1473,30.13315027954921,,45.017821320909135
175,1619308800000,30.168,34.8634,30.0,34.352,30.29874030829986,,55.29528179720995
176,1619395200000,34.358,38.5,34.044,38.165,30.607480724637018,,62.196319878241304
177,1619481600000,38.165,40.629,37.3,39.63,30.96159113084979,,64.46598039498845
178,1619568000000,39.63,42.949,37.624,42.901,31.430167004861673,,68.94863360123918
179,1619654400000,42.876,44.0,39.581,41.05,31.80769694558896,,64.02641868398008
180,1619740800000,41.028,41.416,39.0,40.624,32.15368226008902,,62.91324014545972
181,1619827200000,40.646,41.288,39.19,40.339,32.47489627386606,,62.13491463559904
182,1619913600000,40.346,43.303,39.2,42.62,32.873006835358964,,65.78346502236025
183,1620000000000,42.619,45.0,41.2,42.277,33.242025419757155,,64.77275334248857
184,1620086400000,42.282,44.631,39.52,43.108,33.62916278904971,,66.13047646230518
185,1620172800000,43.091,44.9,41.497,42.423,33.97422159721848,,63.94272547867392
186,1620259200000,42.409,42.537,39.732,40.222,34.21937070425354,,57.374754424426456
187,1620345600000,40.224,41.377,38.27,39.74,34.4359832857729,,56.01776170559495
188,1620432000000,39.733,41.26,38.55,40.498,34.67383319671095,,57.71164813197287
189,1620518400000,40.48,40.722,38.064,39.43,34.86044283639063,,54.5253101830392
190,1620604800000,39.422,41.168,33.46,36.372,34.91974807451045,,46.59299599396235
191,1620691200000,36.378,38.544,35.448,38.515,35.06080344342823,,51.87656907319287
192,1620777600000,38.519,44.044,35.714,36.87,35.1317838009634,,47.95473335153989
193,1620864000000,37.079,40.328,33.905,37.345,35.218613583912635,,49.15015247193009
194,1620950400000,37.341,40.888,37.112,40.4,35.42188841028353,,56.1294862529908
195,1621036800000,40.406,42.4,36.505,36.607,35.468381658411246,,47.425934395613275
196,1621123200000,36.593,39.418,34.5,36.598,35.51269716088707,,47.40715015455079
197,1621209600000,36.597,36.597,31.781,33.232,35.423225576681794,,40.88490608099377
198,1621296000000,33.251,36.63,32.974,35.028,35.40772112677574,,45.215872824509376
199,1621382400000,35.009,35.5,16.0,23.169,34.92761039120395,25.86241711740449,29.728309412146587
200,1621468800000,23.118,28.457,20.0,26.333,34.590458295769636,25.867823980421775,36.024514400224746
201,1621555200000,26.347,27.951,18.819,21.945,34.09440452240322,25.822821132802375,31.772759507096083
202,1621641600000,21.943,22.624,18.372,20.338,33.554777297596765,25.759994579631332,30.359572369202496
203,1621728000000,20.371,21.308,13.0,16.709,32.89396988551534,25.656474590117348,27.396171576133852
204,1621814400000,16.709,25.18,16.493,24.684,32.571921927217794,25.645368510353876,41.02073272691298
205,1621900800000,24.68,26.7,21.505,25.106,32.27906347931782,25.639217731820278,41.64476814895472
206,1621987200000,25.097,29.428,24.436,29.42,32.1669149404286,25.682269938526588,47.73298283708882
207,1622073600000,29.382,30.0,26.106,28.549,32.025001391940485,25.7148668891224,46.6741932123667
208,1622160000000,28.538,29.398,24.861,25.875,31.783768470481178,25.716685144263373,43.48515272073348
209,1622246400000,25.886,27.531,21.809,23.169,31.445858512983158,25.68779764528535,40.47156211003881
210,1622332800000,23.171,26.668,21.66,25.716,31.22110967674604,25.68811698061556,44.3787965619456
211,1622419200000,25.7,28.4,23.433,28.239,31.10413994624581,25.716961039387872,48.018506132744754
212,1622505600000,28.239,28.754,25.942,27.426,30.95987042368486,25.73625977044544,46.952299944421625
213,1622592000000,27.413,28.803,26.335,27.626,30.829105378553237,25.7575704111921,47.262524395567674
214,1622678400000,27.626,29.382,26.897,28.687,30.745085795300188,25.790561878775907,48.96753119758268
215,1622764800000,28.68,28.696,25.005,26.422,30.575523060127765,25.79766386820387,45.579743685014186
216,1622851200000,26.423,27.84,25.04,25.641,30.381979497007478,25.79590410139727,44.438099056091936
217,1622937600000,25.628,26.45,25.303,25.861,30.20465726260268,25.79663437108497,44.85709041576342
218,1623024000000,25.863,27.335,23.91,24.269,29.971849908314017,25.779518512838386,42.367294398997075
219,1623110400000,24.263,24.644,20.465,23.424,29.715032815111762,25.753159960366915,41.06443704171026
220,1623196800000,23.412,25.241,22.097,25.096,29.533868067479933,25.745815363036986,44.68889229819504
221,1623283200000,25.094,25.26,23.085,23.582,29.300429033363528,25.72166159076243,42.16049513419107
222,1623369600000,23.577,23.868,21.299,21.848,29.008137884975277,25.678473873161984,39.41030096257252
223,1623456000000,21.848,22.063,20.239,21.296,28.705662299714984,25.62967187746487,38.54824213975079
224,1623542400000,21.281,24.0,20.449,23.255,28.491884486350333,25.60325951080193,43.28926920949237
225,1623628800000,23.255,24.207,22.494,24.16,28.321986542687473,25.587225605354845,45.385527040184584
226,1623715200000,24.159,24.69,23.116,23.417,28.129612240181757,25.563143380654044,43.949193563861314
227,1623801600000,23.416,23.55,21.642,21.828,27.88246317280842,25.521743278752886,40.963439183720794
228,1623888000000,21.828,22.941,21.403,22.184,27.658970554339785,25.48478982916481,41.91552052391515
229,1623974400000,22.182,22.269,19.55,20.388,27.373805676611543,25.42842448676523,38.53882079021938
230,1624060800000,20.4,20.978,19.754,19.76,27.0751961092454,25.365806869672884,37.40413607975262
231,1624147200000,19.763,21.025,18.622,20.704,26.825322004219775,25.314365501726567,40.25186201264734
232,1624233600000,20.705,20.873,15.74,15.774,26.391898035014748,25.20920502309202,32.05108660048498
233,1624320000000,15.787,17.2,13.93,16.421,26.00084879842386,25.11243915081914,33.95288654230211
234,1624406400000,16.411,18.493,15.772,17.802,25.67929874953109,25.032030065860788,37.945261689619535
235,1624492800000,17.804,18.601,16.611,18.051,25.3801260305087,24.955324683218752,38.66516644861745
