Unix,BTC_Open,BTC_High,BTC_Low,BTC_Close,ETH_Open,ETH_High,ETH_Low,ETH_Close,UNI_Open,UNI_High,UNI_Low,UNI_Close,CRV_Open,CRV_High,CRV_Low,CRV_Close
1618185600000,59998.8,61300.0,59350.59,59860.0,2151.42,2203.46,2102.0,2137.69,29.9131,38.1639,29.5458,36.6844,3.111,3.124,2.932,3.032
1618272000000,59860.01,63777.77,59805.15,63575.0,2137.86,2318.0,2135.53,2299.19,36.669,37.2,33.75,35.4293,3.032,3.192,2.972,3.12
1618358400000,63575.01,64854.0,61301.0,62959.53,2299.19,2447.29,2281.33,2432.6,35.4336,36.93,33.222,36.0626,3.12,3.299,2.976,3.156
1618444800000,62959.53,63800.0,62020.0,63159.98,2432.59,2543.47,2400.0,2514.04,36.0631,39.6,35.5813,37.7447,3.156,4.15,3.138,4.028
1618531200000,63158.74,63520.61,60000.0,61334.8,2514.04,2548.29,2300.0,2422.67,37.7285,38.1977,33.983,36.1359,4.029,4.65,3.683,3.91
1618617600000,61334.81,62506.05,59580.91,60006.66,2422.38,2495.0,2310.0,2317.6,36.1284,37.5267,34.6222,34.7343,3.913,4.34,3.75,3.784
1618704000000,60006.67,60499.0,50931.3,56150.01,2317.65,2340.0,1946.8,2235.64,34.7412,35.1,26.9787,31.6225,3.784,3.868,2.4,3.223
1618790400000,56150.01,57526.81,54221.58,55633.14,2235.65,2300.0,2080.0,2161.12,31.6364,32.73,29.181,31.3572,3.22,3.482,2.769,2.821
1618876800000,55633.14,57076.24,53329.96,56425.0,2161.12,2346.62,2055.0,2330.03,31.3854,32.2985,28.0,31.9547,2.822,3.1,2.57,3.027
1618963200000,56425.0,56757.91,53536.02,53787.63,2330.26,2469.54,2235.16,2357.06,31.9574,36.5644,30.513,33.4146,3.026,3.162,2.822,2.887
1619049600000,53787.62,55521.48,50500.0,51690.96,2357.06,2644.47,2303.44,2397.94,33.4425,38.4579,32.66,33.9099,2.889,3.31,2.672,2.752
1619136000000,51690.95,52131.85,47500.0,51125.14,2397.94,2442.89,2107.0,2367.39,33.9322,34.9307,29.5187,32.9502,2.755,2.858,2.224,2.641
1619222400000,51110.56,51166.22,48657.14,50047.84,2367.39,2368.74,2154.8,2213.35,32.9518,32.9998,29.806,30.1473,2.641,2.648,2.349,2.376
1619308800000,50047.84,50567.91,46930.0,49066.77,2214.08,2356.64,2168.0,2320.49,30.168,34.8634,30.0,34.352,2.374,2.55,2.195,2.382
1619395200000,49066.76,54356.62,48753.44,54001.39,2320.44,2542.8,2303.64,2532.6,34.358,38.5,34.044,38.165,2.384,2.838,2.347,2.781
1619481600000,54001.38,55460.0,53222.0,55011.97,2532.06,2680.0,2480.29,2666.13,38.165,40.629,37.3,39.63,2.777,3.198,2.71,3.128
1619568000000,55011.97,56428.0,53813.16,54846.22,2666.13,2760.0,2559.44,2748.24,39.63,42.949,37.624,42.901,3.127,3.213,2.812,3.036
1619654400000,54846.23,55195.84,52330.94,53555.0,2748.23,2798.0,2668.0,2757.04,42.876,44.0,39.581,41.05,3.036,3.249,2.891,3.022
1619740800000,53555.0,57963.0,53013.01,57694.27,2757.04,2798.3,2723.09,2772.42,41.028,41.416,39.0,40.624,3.02,3.393,2.956,3.338
1619827200000,57697.25,58458.07,56956.14,57800.37,2772.42,2954.28,2743.41,2944.77,40.646,41.288,39.19,40.339,3.338,3.49,3.167,3.403
