,Unix,open,high,low,close,EMA_50,EMA_200,RSI
140,1616284800000,2.705,2.764,2.513,2.594,2.2929535111221355,,54.57582734150782
141,1616371200000,2.593,2.704,2.327,2.352,2.295276985013686,,48.99524852853523
142,1616457600000,2.352,3.277,2.22,2.882,2.318361383118113,,58.90592527513695
143,1616544000000,2.881,2.987,2.366,2.519,2.326254416903799,,51.52179872821616
144,1616630400000,2.516,2.729,2.308,2.384,2.3285258210573834,,49.05877457079421
145,1616716800000,2.386,2.646,2.382,2.622,2.34006816109947,,53.297592795080476
146,1616803200000,2.621,3.2,2.556,3.123,2.3708573521937186,,60.709190434443315
147,1616889600000,3.123,3.39,2.916,3.024,2.3965396971741058,,58.72590846292544
148,1616976000000,3.022,3.577,2.991,3.523,2.4408287821651458,,64.94260537359995
149,1617062400000,3.52,3.528,3.146,3.286,2.474055045286844,,60.297317362290045
150,1617148800000,3.285,3.297,2.95,3.134,2.4999969720690927,,57.45862647568681
151,1617235200000,3.134,3.483,3.043,3.32,2.5322276432495316,,59.94373093163927
152,1617321600000,3.319,3.539,3.221,3.348,2.5642891443548166,,60.319516301695785
153,1617408000000,3.346,3.408,2.893,2.922,2.578346689759291,,52.283027375564274
154,1617494400000,2.922,3.122,2.854,3.103,2.598963134439575,,55.024822771645646
155,1617580800000,3.105,3.5,2.91,3.316,2.627137116703531,,58.07759276924796
156,1617667200000,3.317,3.4,3.001,3.181,2.6488979624260023,,55.50601253349432
157,1617753600000,3.182,3.384,2.722,2.895,2.6585664107217646,,50.41325330281939
158,1617840000000,2.896,3.099,2.851,3.074,2.6748861228652188,,53.30120841706615
159,1617926400000,3.074,3.14,2.929,2.98,2.6868712699671584,,51.601605214098626
160,1618012800000,2.979,3.056,2.862,2.961,2.697638590508555,,51.245908288567165
161,1618099200000,2.961,3.212,2.886,3.111,2.713873721968307,,53.94499052541003
162,1618185600000,3.111,3.124,2.932,3.032,2.726367658208092,,52.30270115801385
163,1618272000000,3.032,3.192,2.972,3.12,2.7418260888619956,,53.98326354444899
